feature,importance_0,importance_1,importance_2,importance_3,importance_4,importance
D_60_mean,47.0,52.0,67.0,43.0,46.0,51.0
B_18_std,52.0,47.0,47.0,50.0,59.0,51.0
B_15_std,47.0,50.0,48.0,38.0,72.0,51.0
D_55_mean,70.0,49.0,51.0,46.0,38.0,50.8
R_27_max,56.0,45.0,46.0,48.0,58.0,50.6
D_112_std,52.0,47.0,49.0,50.0,55.0,50.6
D_71_std,52.0,53.0,44.0,53.0,50.0,50.4
B_23_last,61.0,57.0,41.0,53.0,40.0,50.4
B_13_max,62.0,48.0,48.0,54.0,40.0,50.4
B_18_mean,56.0,52.0,41.0,50.0,52.0,50.2
D_105_max,49.0,49.0,49.0,54.0,50.0,50.2
R_1_min,68.0,51.0,42.0,39.0,51.0,50.2
B_7_std,67.0,46.0,29.0,47.0,62.0,50.2
S_16_min,51.0,50.0,42.0,57.0,50.0,50.0
S_7_last,48.0,55.0,48.0,39.0,58.0,49.6
D_60_min,66.0,52.0,37.0,41.0,52.0,49.6
R_3_mean,51.0,54.0,42.0,40.0,60.0,49.4
D_121_mean,50.0,44.0,55.0,37.0,60.0,49.2
R_27_last,65.0,49.0,45.0,44.0,43.0,49.2
B_36_std,82.0,41.0,41.0,43.0,39.0,49.2
D_70_std,53.0,51.0,47.0,43.0,51.0,49.0
S_19_mean,49.0,48.0,46.0,42.0,60.0,49.0
B_27_mean,60.0,51.0,36.0,45.0,53.0,49.0
D_102_std,51.0,45.0,62.0,38.0,49.0,49.0
D_60_max,59.0,44.0,58.0,39.0,44.0,48.8
S_7_std,54.0,57.0,42.0,40.0,50.0,48.6
D_133_std,60.0,57.0,37.0,42.0,47.0,48.6
D_52_max,50.0,43.0,60.0,42.0,47.0,48.4
B_24_std,57.0,35.0,55.0,36.0,59.0,48.4
D_55_min,46.0,56.0,49.0,43.0,47.0,48.2
D_45_last,51.0,50.0,46.0,46.0,48.0,48.2
B_12_mean,64.0,46.0,46.0,31.0,53.0,48.0
S_5_mean,57.0,43.0,43.0,49.0,46.0,47.6
D_55_max,44.0,39.0,46.0,62.0,46.0,47.4
D_59_std,55.0,53.0,42.0,47.0,40.0,47.4
R_6_max,43.0,56.0,37.0,45.0,55.0,47.2
B_13_last,60.0,36.0,41.0,48.0,51.0,47.2
B_2_max,51.0,49.0,48.0,40.0,47.0,47.0
D_46_std,53.0,50.0,37.0,43.0,52.0,47.0
D_61_mean,59.0,36.0,40.0,45.0,54.0,46.8
R_27_mean,63.0,42.0,45.0,42.0,42.0,46.8
B_25_std,60.0,45.0,35.0,46.0,47.0,46.6
B_18_min,61.0,49.0,36.0,38.0,49.0,46.6
D_121_min,52.0,48.0,39.0,49.0,44.0,46.4
D_115_std,51.0,53.0,35.0,47.0,46.0,46.4
B_40_mean,53.0,45.0,51.0,39.0,44.0,46.4
S_15_std,51.0,38.0,49.0,46.0,47.0,46.2
D_118_max,61.0,38.0,41.0,43.0,48.0,46.2
D_46_mean,50.0,40.0,36.0,53.0,51.0,46.0
S_17_mean,53.0,43.0,53.0,33.0,48.0,46.0
B_36_max,59.0,49.0,44.0,36.0,41.0,45.8
S_22_last,60.0,44.0,46.0,38.0,41.0,45.8
S_25_mean,56.0,45.0,45.0,36.0,47.0,45.8
S_8_std,60.0,41.0,41.0,44.0,42.0,45.6
B_6_last,47.0,50.0,58.0,40.0,33.0,45.6
D_45_max,50.0,39.0,46.0,37.0,56.0,45.6
R_6_mean,55.0,40.0,43.0,43.0,47.0,45.6
D_61_std,55.0,47.0,37.0,33.0,55.0,45.4
D_144_max,41.0,45.0,39.0,46.0,54.0,45.0
S_24_std,55.0,44.0,33.0,41.0,51.0,44.8
P_3_mean,48.0,43.0,37.0,44.0,51.0,44.6
R_1_max,56.0,44.0,43.0,41.0,38.0,44.4
S_17_max,61.0,42.0,41.0,41.0,37.0,44.4
S_15_max,50.0,47.0,45.0,34.0,45.0,44.2
B_23_std,41.0,45.0,36.0,50.0,49.0,44.2
S_12_max,47.0,31.0,54.0,39.0,50.0,44.2
B_28_last,50.0,40.0,45.0,36.0,50.0,44.2
S_7_min,44.0,46.0,49.0,47.0,35.0,44.2
B_12_max,40.0,45.0,49.0,40.0,46.0,44.0
D_45_mean,49.0,38.0,39.0,51.0,42.0,43.8
D_47_min,48.0,49.0,34.0,47.0,41.0,43.8
B_15_max,44.0,51.0,40.0,38.0,44.0,43.4
B_4_max,55.0,38.0,46.0,42.0,34.0,43.0
D_77_mean,58.0,39.0,35.0,40.0,42.0,42.8
S_11_mean,57.0,49.0,39.0,25.0,44.0,42.8
B_27_min,40.0,42.0,46.0,30.0,56.0,42.8
S_27_mean,49.0,45.0,42.0,32.0,44.0,42.4
B_25_min,39.0,48.0,36.0,42.0,47.0,42.4
B_8_std,52.0,39.0,42.0,28.0,50.0,42.2
R_3_std,60.0,41.0,42.0,33.0,35.0,42.2
D_59_max,53.0,37.0,33.0,35.0,53.0,42.2
B_12_last,54.0,39.0,37.0,34.0,46.0,42.0
B_24_max,54.0,53.0,31.0,34.0,37.0,41.8
B_14_max,44.0,34.0,41.0,42.0,48.0,41.8
S_11_last,43.0,49.0,46.0,34.0,37.0,41.8
D_71_max,41.0,43.0,49.0,39.0,36.0,41.6
S_27_std,45.0,40.0,29.0,45.0,49.0,41.6
B_26_min,57.0,42.0,33.0,28.0,48.0,41.6
D_77_std,45.0,29.0,44.0,42.0,46.0,41.2
D_62_max,52.0,36.0,52.0,40.0,26.0,41.2
D_55_last,49.0,39.0,37.0,40.0,40.0,41.0
S_13_std,54.0,29.0,44.0,38.0,40.0,41.0
B_10_mean,57.0,42.0,38.0,30.0,38.0,41.0
B_40_min,51.0,40.0,37.0,35.0,41.0,40.8
B_12_min,53.0,49.0,38.0,30.0,34.0,40.8
B_15_min,43.0,48.0,33.0,40.0,39.0,40.6
B_11_min,56.0,35.0,38.0,41.0,33.0,40.6
S_9_mean,51.0,40.0,44.0,30.0,38.0,40.6
D_133_mean,38.0,41.0,34.0,52.0,36.0,40.2
B_26_mean,47.0,41.0,37.0,42.0,34.0,40.2
D_115_max,51.0,29.0,35.0,39.0,47.0,40.2
